conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptCAUSE,Provider
THREAT_CAUSE_CERTAINTY TYPE:1,Not Applicable,,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_CERTAINTY TYPE:2,Negligible,,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_CERTAINTY TYPE:3,Low,,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_CERTAINTY TYPE:4,Medium,,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_CERTAINTY TYPE:5,High,,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_CERTAINTY TYPE:6,Definite,,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
