conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptEFFECT,Provider
RELATIONSHIP_CERTAINTY_TYPE:1,Probable,,RELATIONSHIP_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
RELATIONSHIP_CERTAINTY_TYPE:2,Possible,,RELATIONSHIP_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
RELATIONSHIP_CERTAINTY_TYPE:3,Planned,,RELATIONSHIP_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
