conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
DISTURBANCE_EXTENT_TYPE:1,1-10%,,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EXTENT_TYPE:2,10-30%,,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EXTENT_TYPE:3,30-60%,,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EXTENT_TYPE:4,60-90%,,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EXTENT_TYPE:5,90-100%,,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EXTENT_TYPE:6,Unknown,,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
