conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptEFFECT,Provider
RELATIONSHIP_CERTAINTY_TYPE:1,Certain,Certain,RELATIONSHIP_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
RELATIONSHIP_CERTAINTY_TYPE:2,Uncertain,Uncertain,RELATIONSHIP_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
