conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptEFFECT,Provider
DISTURBANCE_EFFECT_CERTAINTY_TYPE:1,Negligible,,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_CERTAINTY_TYPE:2,Low,,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_CERTAINTY_TYPE:3,Medium,,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_CERTAINTY_TYPE:4,High,,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_CERTAINTY_TYPE:5,Definite,,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
