conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptCAUSE,Provider
THREAT_CAUSE_CERTAINTY TYPE:1,Possible,Possible,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_CERTAINTY TYPE:2,Probable,Probable,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_CERTAINTY TYPE:3,Planned,Planned,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
