conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
DISTURBANCE_EXTENT_TYPE:1,Unknown,Unknown,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EXTENT_TYPE:2,1-10%,1-10%,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EXTENT_TYPE:3,10-30%,10-30%,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EXTENT_TYPE:4,30-60%,30-60%,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EXTENT_TYPE:5,60-90%,60-90%,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EXTENT_TYPE:6,90-100%,90-100%,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
