conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptEFFECT,Provider
THREAT_EFFECT_CERTAINTY TYPE:1,Probable,,THREAT_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_CERTAINTY TYPE:2,Possible,,THREAT_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_CERTAINTY TYPE:3,Planned,,THREAT_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
