conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
CULTURAL_SUBPERIOD_CERTAINTY_TYPE:1,Possible,,CULTURAL_SUBPERIOD_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
CULTURAL_SUBPERIOD_CERTAINTY_TYPE:2,Probable,,CULTURAL_SUBPERIOD_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
CULTURAL_SUBPERIOD_CERTAINTY_TYPE:3,Definite,,CULTURAL_SUBPERIOD_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
CULTURAL_SUBPERIOD_CERTAINTY_TYPE:4,Not Applicable,,CULTURAL_SUBPERIOD_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
