conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
PROCESSING_TYPE:1,Unknown,,PROCESSING_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
PROCESSING_TYPE:2,Satellite Imagery,,PROCESSING_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
PROCESSING_TYPE:3,Photograph/Video,,PROCESSING_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
PROCESSING_TYPE:4,Not Applicable,,PROCESSING_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
PROCESSING_TYPE:5,Other/Unlisted,,PROCESSING_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
