conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
SERIES_TYPE:1,K501,,SERIES_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SERIES_TYPE:2,Levant,,SERIES_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SERIES_TYPE:3,K737,,SERIES_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SERIES_TYPE:4,Not Applicable,,SERIES_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SERIES_TYPE:5,Unknown,,SERIES_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SERIES_TYPE:6,Southern Levant,,SERIES_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
