entitytype,authoritydoc,authoritydocconceptschemename
CREATOR_TYPE.E55,CREATOR_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
CULTURAL_PERIOD_CERTAINTY_TYPE.E55,CULTURAL_PERIOD_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_CAUSE_CERTAINTY_TYPE.E55,DISTURBANCE_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_CAUSE_TYPE.E55,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_DATE_TYPE.E55,DISTURBANCE_DATE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_1_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_1_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_2_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_2_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_3_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_3_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_4_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_5_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EXTENT_TYPE.E55,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE.E55,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_INTERPRETATION_2_CERTAINTY_TYPE.E55,FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_INTERPRETATION_2_TYPE.E55,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE.E55,FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_INTERPRETATION_NUMBER_TYPE.E55,FEATURE_EVIDENCE_INTERPRETATION_NUMBER_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE.E55,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
